DateTime, Time_To_DNS_Lookup, IPs, Response_Code, Time_To_Response_Code, Size_Of_Body, Time_To_Read_Body
2022-Apr-15 19:39:23, 43, [52.119.198.189], 400, 671, 249, 0
2022-Apr-15 19:39:26, 64, [52.46.149.20], 400, 674, 249, 1
2022-Apr-15 19:39:29, 37, [52.119.198.109], 400, 670, 249, 1
2022-Apr-15 19:39:32, 149, [209.54.179.93], 400, 645, 249, 0
2022-Apr-15 19:39:34, 41, [52.119.198.186], 400, 648, 249, 0
2022-Apr-15 19:39:37, 34, [209.54.180.25], 400, 722, 249, 1
2022-Apr-15 19:39:40, 37, [52.46.149.20], 400, 633, 249, 0
2022-Apr-15 19:39:42, 34, [52.119.196.25], 400, 636, 249, 0
2022-Apr-15 19:39:45, 35, [209.54.177.153], 400, 678, 249, 0
2022-Apr-15 19:39:48, 56, [209.54.180.25], 400, 682, 249, 0
